Datetime,Username,Like Counts,Tweet,Class
2022-11-02 20:59:07+00:00,Syar_bjm,3,@PangeranBiru212 @Samudera_Estu Knp hanya ustadz? Knp bkn guru yg tdk cukup mengajarkan budi pekerti? Knp bkn polisi yg tdk cukup mengawasi? Kenapa bkn Dinas Kesehatan yg tdk cukup menjaga kesehatan mental masyarakat? Kenapa bkn kamu yg tidak datang kesono dan turut menasihati?,Feelings and Problematization
2022-11-10 04:50:26+00:00,Hazelnutxha,0,"Replyannya bnrn darurat edukasi mental health wkwk, dipikir yg di rawat di rsj itu semua org gila yg ga mandi, perilaku ga normal dsb, pdhl gangguan mental itu bnyak jenis dan gejalanya🤦🏻",Feelings and Problematization
2022-12-17 22:56:06+00:00,Ailsiene_,0,"Looks : eh.. 8 ? Aku agak insecure sih smaa diri sendiri
Creativity : eh. 7 maybe.. Soalnya aku suka halu tapi pas eksekusi gambar.. Ga ada ide.. Eh.. Anu.. Eh.. 6 deh 
Humor : 2 receh bet
Mental health: 7 sih.. Udh stress..  Tapi masih bisa di handle.. 
Empati: 7 kali",-
2022-12-23 13:47:24+00:00,nshnsh__,0,@Aku_Survivor mental health awareness. tajuk psl stress pelajar.. last minute kaunselor kat um takleh buat sbb ada hal,-
2022-11-14 22:44:42+00:00,wawanikip,0,Generasi melek mental health tapi gak ngerti attitude itu benar adanya ternyata.,Youth
2022-12-20 08:12:15+00:00,minkabora,0,"@indomyfess Logikanya, siapa yang bener2 berjuang, ga menyerah, selalu rendah hati, engga sombong, pasti usaha dan kerja kerasnya akan ada hasil. Sebodo dengan kata orang menjual kesedihan, ga pernah tuh mereka gimmick. Mau dikata jual kesedihan, mental health, gue tetep bangga jd fans B75",Feelings and Problematization
2022-12-01 14:21:33+00:00,wipilarpa,0,"Kalau lingkungan kerjanya sama kaya yg di Bandung mah aing gakan sampai pindah 🤣

Kesehatan mental &gt;&gt;&gt;&gt;&gt; gaji UMR Bekasi",Stigma
2022-12-30 02:19:16+00:00,_Ahoyistired,0,Dah lama ye aku x pergi buat treatment mental health aku dekat Dr.,Service
2022-10-28 00:00:41+00:00,puppypuppiest,0,"Pernah baca salah satu postingan dari kesehatan mental, klo mau sembuh nikmatin rasa sakitnya kasih waktu mau berapa lama km bersedih tp habis itu bangkit.",Stigma
2022-10-29 14:35:16+00:00,Ar1Nurdy,3,@idextratime Untuk decul se-Indonesia berterimakasih lah kepada Chelsea karena telah menyelamatkan mental health kleann,Stigma
2022-12-15 12:14:59+00:00,yrscl,0,"(ikutan) honestly rate yourself 

looks: 7/10 kalau pd bgt bisa 8
creativity: 8/10 kalau kepepet bisa ningkat ampe 11
humor: 8/10 aku tuh bisa ngelucu
mental health: 7/10 keknya
empathy: 4/10 
patience: 9/10
social skills: 2/10 kalau kepepet bisa jd 5
memory: 5/10 skrg jlek👎🥲",-
2022-12-08 18:22:12+00:00,Its_Nistha,1,"@Not_Parvv @UrvilPanchal7 @_SecretBae Ps: bahut jyada 
Mental health ki baat ho rhi",-
2022-11-03 07:55:54+00:00,M_Sri28,0,@princekidding16 Mental health ka pta ni zindgi jrur jhand ho rkhi h😫,-
2022-12-16 05:39:36+00:00,ahmada_husein,3,"@Lotusflower217 @notyourbunnybee @gkduluuuu Nggak gitu, kalo yg gudluking larinya ke ""mungkin dia lagi ada mental health problems""",Feelings and Problematization
2022-11-04 05:44:07+00:00,moo_timomo,1,"Minggu depan disuruh bawain training kesehatan mental, tapi satu tim kondisinya lagi pada stress semua. Sehat apanya ini 🤣",Feelings and Problematization
2022-12-20 09:22:02+00:00,mhndrgstr,0,Jadi sales atau customer service atau apapun itu memang mengorbankan kesehatan mental saya 🥲🥲🥲 bener bene ya Allah.,Feelings and Problematization
2022-10-27 06:32:15+00:00,km_macam,1,Deserve namin ng mental health break baka namannnn ue diba @YsaBrll HAHAHHAAHA,-
2022-12-15 09:26:40+00:00,ReplyJkt48,0,"Terima kasih banyak untuk semangat yang kamu berikan, @F\_OllaJKT48. Saya sangat menghargai dukunganmu. Jangan lupa untuk selalu menjaga kesehatan mental dan fisikmu juga, ya! Selalu ingat bahwa kamu adalah orang yang hebat dan kuat. Jika kamu merasa sedang mengalami kesulitan",Awareness
2022-11-02 07:02:35+00:00,masGalsakti,0,"Well, percakapan @adrianoqalbi &amp; @arieputrabn @TotalPolitikCom.
Politisi yg bicara ngeroom tanpa persekusi, mental health or minimal kesejahteraan ortu mereka (meringankan beban), mungkin bakal lebih dilirik oleh millenials &amp; gen Z. Real millenials &amp; gen Z, yak! Bukan bapak2 alay",Stigma
2022-12-13 12:22:08+00:00,dtecha_v,0,"eh kalian moots gua yang gasuka war, unfoll aja, demi kesehatan mental kalian wkwk",Awareness
2022-11-22 15:09:26+00:00,ohosehunwife,0,muts aku ada yg anak psikologi gaa sie? aku mau konsultasi mental health 🥲,Service
2022-12-20 13:32:03+00:00,theeyesmetheart,0,"@sbtcon wajar gpp nder

gunakan fitur blok demi kesehatan mental kita di jagat maya ini 🤣",Awareness
2022-12-10 09:02:56+00:00,KohlifiedGal,1,"Thalaivan epdiyachu uruti 3 run eduthudu 
Enoda weekend mental health un Kai la dha eruku",-
2022-11-11 12:19:28+00:00,widyamalaikha,0,Hahaha generasi melek mental health tapi ga ngerti manner,Youth
